model,rmse,mae,r2,scenario
gradient_boosting,1.6288270184090738,1.2286184921355034,0.8913695013812343,normal
random_forest,2.5050681804175583,1.9891451591327443,0.7430545421835011,normal
lasso,2.8161605048460228,2.143840042600698,0.6752743082863735,normal
ridge,2.8192094117843802,2.1437823015233897,0.6745708012564492,normal
ols,2.8195259058173217,2.1434142052990532,0.674497729578638,normal
gradient_boosting,1.8453426383360219,1.4174205850713852,0.865894579922994,t3
random_forest,2.49204524611221,1.9764972230981122,0.7554294591138583,t3
lasso,2.9957158521503477,2.3292108166946632,0.6465780386568427,t3
ridge,2.9986814400778408,2.330694690135486,0.6458779571169491,t3
ols,2.999140774394912,2.330546527376103,0.6457694608541493,t3
lasso,6.293807056467836,4.209635027833664,0.0447669689189385,t1
ridge,6.30201782985333,4.216175198854159,0.042272987797673744,t1
ols,6.3049516363726354,4.218583409124154,0.04138107036613037,t1
random_forest,6.607220492556214,4.163479887165295,-0.052737471670103675,t1
gradient_boosting,17.286494014522617,6.473950205121738,-6.206034247140228,t1
gradient_boosting,2.927622183688407,2.210209009478125,0.7011940042468203,skewed
random_forest,3.397510140823142,2.649882135271627,0.5975788735493964,skewed
lasso,3.5971241592854293,2.742235317268278,0.5489028267635645,skewed
ridge,3.601192729524688,2.744192273048449,0.5478818119843514,skewed
ols,3.6015196845614086,2.7440323812893226,0.5477997119467704,skewed
