model,rmse_vs_truth,mae_vs_truth,scenario
gradient_boosting,1.3110696128945776,1.024411579688158,normal
random_forest,2.2925816025671972,1.8147463262359926,normal
lasso,2.665320577649672,2.0315615107005356,normal
ridge,2.668302823867349,2.0330298855494493,normal
ols,2.668609091482875,2.0328870957623826,normal
gradient_boosting,1.3247728582573146,1.019964204156776,t3
random_forest,2.16698405794233,1.722257270888489,t3
lasso,2.6734511140331483,2.015354815469578,t3
ridge,2.6762546090944364,2.01594876823423,t3
ols,2.6767218190974855,2.015932501801324,t3
lasso,3.983778409238417,3.0369411047855217,t1
ridge,3.993313391361914,3.0446212928434,t1
ols,3.9969296005041923,3.0469310670717147,t1
random_forest,5.537144036514393,3.130784171015222,t1
gradient_boosting,16.51006745241485,5.161760047519318,t1
gradient_boosting,1.5252014620736412,1.1944411063830425,skewed
random_forest,2.297622600568293,1.7933961181958666,skewed
lasso,2.663935342168787,2.0330411189484243,skewed
ridge,2.667227635307546,2.0351367557118176,skewed
ols,2.6674496587492063,2.035038636894948,skewed
